ds,yhat
2022-01-01,125784.854352
2022-02-01,138686.9241714249
2022-03-01,150340.40658685748
2022-04-01,163242.47640168338
2022-05-01,175728.35041556004
2022-06-01,188630.4202309613
2022-07-01,201116.29424387042
2022-08-01,214018.36405865915
2022-09-01,226920.43387310498
2022-10-01,239406.30788587668
2022-11-01,252308.3776982087
2022-12-01,264794.25170969305
2023-01-01,277696.32152114826
2023-02-01,290598.39133078745
2023-03-01,302251.8737399324
2023-04-01,315153.94355231646
2023-05-01,327639.8175668773
2023-06-01,340541.8873837814
2023-07-01,353027.7614007551
2023-08-01,365929.83121895714
2023-09-01,378831.90103715926
2023-10-01,391317.7750547742
2023-11-01,404219.8448729763
2023-12-01,416705.71889059123
2023-12-31,429191.5929082061
2024-01-31,442093.66272640816
2024-02-29,454163.3409434359
2024-03-31,467065.410761638
2024-04-30,479551.28477925295
2024-05-31,492453.354597455
2024-06-30,504939.22861506994
2024-07-31,517841.298433272
2024-08-31,530743.3682514741
2024-09-30,543229.2422690891
2024-10-31,556131.3120872912
2024-11-30,568617.186104906
